episode,reached_A,reached_B,b_valid,b_forced,spl_A,spl_B,euclid_A,euclid_B,legA_len,legB_len,arm
1,1.0,0.0,1.0,0.0,1.0,0.0,3.601060628890991,2.0142410678042495,3.249202498638624,54.951803006231785,ch
2,0.0,nan,0.0,0.0,0.0,nan,6.3680338859558105,0.0,5.51190953947777,0.0,ch
3,1.0,0.0,1.0,0.0,1.0,0.0,7.753494739532471,7.7609477664168525,7.342616459204919,50.96449338458494,ch
4,0.0,nan,0.0,0.0,0.0,nan,6.101844787597656,0.0,59.357187488581985,0.0,ch
5,0.0,nan,0.0,0.0,0.0,nan,7.752651214599609,0.0,59.448232624534285,0.0,ch
6,1.0,0.0,1.0,0.0,1.0,0.0,4.253127098083496,4.197050044977597,3.615794774144888,55.090094053304966,ch
7,0.0,nan,0.0,0.0,0.0,nan,7.602806091308594,0.0,55.88660604262259,0.0,ch
8,1.0,0.0,1.0,0.0,1.0,0.0,6.238978862762451,6.184187691060237,6.0827387228880525,50.47139347565518,ch
9,0.0,nan,0.0,0.0,0.0,nan,9.422550201416016,0.0,55.885392528044015,0.0,ch
10,1.0,0.0,1.0,0.0,1.0,0.0,4.15203332901001,4.112294594419915,3.811910756411976,55.201207112133204,ch
11,1.0,0.0,1.0,0.0,1.0,0.0,5.170719146728516,5.118514385190291,4.599039975553751,54.781014286044766,ch
12,0.0,nan,0.0,0.0,0.0,nan,3.855457067489624,0.0,0.06155984777251433,0.0,ch
13,1.0,0.0,1.0,0.0,1.0,0.0,5.953939914703369,5.952052057727335,5.441332157701254,25.02261710855904,ch
14,1.0,0.0,1.0,0.0,1.0,0.0,3.978464126586914,3.9873149690913476,3.475749215774613,54.86818395472096,ch
15,0.0,nan,0.0,0.0,0.0,nan,9.015276908874512,0.0,58.97986424806493,0.0,ch
16,1.0,0.0,1.0,0.0,1.0,0.0,7.4678826332092285,7.477910268144998,7.439703250908224,51.41921564301447,ch
17,1.0,0.0,1.0,0.0,1.0,0.0,4.012688636779785,4.047345254069549,3.698181281069992,53.669143372732435,ch
18,0.0,nan,0.0,0.0,0.0,nan,7.790351867675781,0.0,4.662288583553163,0.0,ch
19,1.0,0.0,1.0,0.0,1.0,0.0,7.077866554260254,7.077559024644575,7.007342153415948,49.941883079559446,ch
20,0.0,nan,0.0,0.0,0.0,nan,6.287956237792969,0.0,6.349549376650472,0.0,ch
21,1.0,0.0,1.0,0.0,1.0,0.0,4.365147113800049,4.373301739947694,3.9066705817822367,54.84293277451195,ch
