success,spl,distance
0.0,0.0,4.9622865
0.0,0.0,4.1808577
0.0,0.0,9.460598
0.0,0.0,6.3132787
0.0,0.0,6.825133
0.0,0.0,4.460447
0.0,0.0,6.0923514
0.0,0.0,4.7232347
0.0,0.0,6.3148646
0.0,0.0,4.694602
0.0,0.0,6.3507743
0.0,0.0,4.06817
0.0,0.0,6.1999836
0.0,0.0,5.5843678
0.0,0.0,6.2367797
0.0,0.0,6.043252
0.0,0.0,5.414879
0.0,0.0,6.5778413
0.0,0.0,7.0641036
0.0,0.0,8.086178
0.0,0.0,10.162206
0.0,0.0,8.112072
0.0,0.0,9.484572
0.0,0.0,9.636472
0.0,0.0,4.8366075
0.0,0.0,7.773163
0.0,0.0,7.2517495
0.0,0.0,6.2256417
0.0,0.0,6.1468005
0.0,0.0,4.827231
1.0,1.0,4.7075825
0.0,0.0,4.264165
0.0,0.0,6.7152243
0.0,0.0,4.3702207
0.0,0.0,4.30199
0.0,0.0,5.735798
0.0,0.0,5.4658837
0.0,0.0,4.029045
0.0,0.0,9.535005
0.0,0.0,4.7203207
0.0,0.0,5.2691083
0.0,0.0,4.845145
0.0,0.0,7.5813446
0.0,0.0,4.26605
0.0,0.0,9.661586
0.0,0.0,5.8395567
0.0,0.0,4.4265566
0.0,0.0,4.9179053
0.0,0.0,5.3096066
0.0,0.0,8.295782
0.0,0.0,4.740963
0.0,0.0,5.5930924
0.0,0.0,5.4999275
0.0,0.0,4.2232766
0.0,0.0,5.941504
1.0,1.0,4.2197037
0.0,0.0,4.088974
0.0,0.0,10.469297
0.0,0.0,9.086678
0.0,0.0,4.7369933
0.0,0.0,5.1192694
0.0,0.0,5.2205515
0.0,0.0,4.708846
0.0,0.0,6.7654805
0.0,0.0,4.8805
0.0,0.0,10.451892
0.0,0.0,8.58634
0.0,0.0,5.2740855
0.0,0.0,5.185752
0.0,0.0,4.157315
0.0,0.0,4.9263687
0.0,0.0,8.67249
0.0,0.0,5.6800346
0.0,0.0,4.160819
0.0,0.0,5.0557323
0.0,0.0,4.1233406
0.0,0.0,6.158998
0.0,0.0,6.7229753
0.0,0.0,5.4792285
0.0,0.0,5.3158574
0.0,0.0,4.989056
0.0,0.0,7.7342677
0.0,0.0,5.8551197
0.0,0.0,5.6716123
0.0,0.0,6.345933
0.0,0.0,4.8051834
0.0,0.0,4.5077763
0.0,0.0,4.194016
0.0,0.0,5.1324615
0.0,0.0,6.3381534
0.0,0.0,10.680418
0.0,0.0,4.4182544
0.0,0.0,6.611499
0.0,0.0,6.668518
0.0,0.0,5.046881
0.0,0.0,9.498493
0.0,0.0,5.8904934
0.0,0.0,5.3599315
0.0,0.0,5.991231
0.0,0.0,4.946963
0.0,0.0,4.919022
